batch,provisional_case_id,event_year,event_date_original,normalized_date,date_precision,event_time,municipality,locality,latitude,longitude,location_precision,region,medium,phenomenon_class,secondary_tags,short_case_summary,witness_count,witness_class,agency_or_institution,evidence_type,source_tier,source_name,source_url,archived_url,source_date,language,duplicate_status,possible_existing_case_match,confidence_score,confidence_label,conventional_explanation_check,why_it_counts,unresolved_questions,recommended_followup,foia_candidate_agency,notes
1,PRUAP-GAP-2018-001,2018,02/09/2018 04:40,2018-02-09,exact,04:40 local (15s video),Mayagüez,witness backyard near generator,,,exact locality,West PR coast,aerial,aerial_light,post_blackout;witness_video_15s;dancing_light,"During electrical outage at 04:00, witness moved to start generator at 04:40 and noticed bright light initially mistaken for a planet; light began to 'dance'; 15s phone video captured.",1,civilian,none,witness video (15s) + narrative,T3 narrative archived at T4 host,The Black Vault / TBV Investigations,https://www.theblackvault.com/casefiles/ufo-over-mayaguez-puerto-rico-february-9-2018/,http://web.archive.org/web/20250909031033/https://www.theblackvault.com/casefiles/ufo-over-mayaguez-puerto-rico-february-9-2018/,2018-09-05 (archive); 2018-02-09 (event),en,NEW vs real ledger,"none; 2018 ledger rows PRUAP-0438 Culebra pyramid, PRUAP-0439 Barceloneta distinct",58,medium,Venus/Jupiter at 04:40 Feb 2018 should be checked; bright planet + scintillation can produce 'dancing'.,Date-specific 2018 case with media artifact + blackout context.,Astronomical correlation check needed.,Stellarium check Mayaguez 02/09/2018 04:40; analyze video.,(none),Black Vault states no formal investigation. Also mirrored on NUFORC/ufo-hunters as 2018-02-09 Mayaguez Star-like. || ARCHIVE: existing Wayback snapshot recorded in archived_url (verified via archive.org availability API).
2,PRUAP-GAP-1976-001,1976,07/14/1976 00:00 (approximate per witness),1976-07-14,approximate (witness-flagged),"overnight, 10 min","Wahataka (per NUFORC; likely phonetic for Guajataca, NW PR - requires confirmation)",wahataka lake campsite near 'native indian encampment',,,locality (lake) within region,Northwest PR (provisional),aerial,cigar_cylinder,23_witnesses;multi_witness;low_altitude_100ft;color_blending;silent;army_evacuation,"23 family members at a campfire/fishing trip near Wahataka lake observed an orange-red object the size of three tractor-trailers nose-to-tail, ~100 ft above the tree-line, color-blending orange-red, silent, ~10 min before drifting over the next ridge. Group asked to leave by US Army at 7am.",23,civilian family group,US Army (post-event evacuation claim),witness narrative (multi-witness),T3,NUFORC sighting 54316,https://nuforc.org/sighting/?id=54316,,2007-01-02 (report); event approximate,en,NEW vs real ledger,none; 1976 ledger row PRUAP-0141 is April 28 Gurabo funeral photo,62,medium,"Orange-red color-blending object at 100ft tree-top for 10min silent rules out commercial aviation, planet, satellite, lantern.",HIGH VALUE - 23-witness close-low-altitude observation with Army-evacuation claim; closes the biggest pre-2000 gap (1976: 1 vs neighbor avg 9.2).,'Wahataka' geographic identity; Army-evacuation claim.,Identify Wahataka (likely Guajataca); FOIA US Army National Guard / Camp Santiago July 1976.,US Army (Camp Santiago) / PR National Guard,Strongest 1976 candidate. || ARCHIVE: archived_url left BLANK — Save Page Now was submitted via the Claude-in-Chrome browser on 2026-05-23 but the capture could not be confirmed this session (Wayback resolver/progress page hung repeatedly). No archive URL fabricated.
2,PRUAP-GAP-1976-002,1976,07/20/1976 23:00 (approximate per witness),1976-07-20,approximate (witness-flagged),"23:00 local, 5 min",unspecified PR municipality,observation from car,,,regional,PR (general),aerial,aerial_light,5_witnesses;multi_witness;red_light_lateral;next_day_press_story;car_witness,5 witnesses (driver + family) saw a red light moving side to side from a car. Witness recalls next-day island-wide press/radio reports of UFOs with photos of 'an alien wearing a suit full of tiny lights.',5,civilian family group,none,"witness narrative (multi-witness, retrospective)",T3,NUFORC sighting 36353,https://nuforc.org/sighting/?id=36353,https://web.archive.org/web/20260523103839/https://nuforc.org/sighting/?id=36353,2004-04-14 (report); event approximate,en,NEW vs real ledger,none for direct dedup; CROSS-REF same-press-story pairing with PRUAP-GAP-1978-001,45,medium,Moving planet partial rule-out; 'side-to-side' atypical. Press-photo claim is a verifiable historical anchor.,Same-week press-story corroboration claim; adds to 1-case 1976 year.,Identify the 'alien in light costume' press photo (La Semana/El Mundo July 1976/77/78).,UPR-RP Coleccion Puertorriquena microfilm July 1976.,(none),"Press-photo claim, if confirmed, may resolve a known PR-wide event. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url."
2,PRUAP-GAP-1976-003,1976,07/15/1976 10:00 (approximate per witness),1976-07-15,approximate (witness-flagged),"10:00 local (daytime), 1 min",Ponce,unspecified barrio,,,municipality centroid,South PR coast,aerial,sphere_or_orb,close_encounter;3_4ft_sphere;low_altitude;color_changing,"Single witness in Ponce saw a metallic sphere ~3-4 ft diameter, ~4 ft above ground, color-changing, silent, accelerating as witness moved.",1,civilian,none,witness narrative,T3,NUFORC sighting 57609,https://nuforc.org/sighting/?id=57609,https://web.archive.org/web/20260523103840/https://nuforc.org/sighting/?id=57609,2007-07-12 (report); event approximate,en,NEW vs real ledger,none; distinct date/locality,35,low-medium,3-4ft metallic sphere at 4ft altitude not consistent with aircraft/balloon/planet; commercial drones not available 1976.,Ponce daytime close-encounter; adds to 1976.,Witness narrative subjective (all-caps).,Low priority; revisit if other 1976 Ponce reports surface.,(none),Score reflects subjective tone. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
2,PRUAP-GAP-1978-001,1978,07/01/1978 00:00 (approximate per witness),1978-07-01,approximate (witness-flagged),"late evening, 10 min",Bayamón,"en route home, on road",,,municipality centroid,North PR metro,aerial,aerial_light,5_witnesses;multi_witness;red_light_following_car;next_day_press_story,"5 witnesses (driver + family) driving home in Bayamon; step-mom observed a red light hovering on horizon, apparently following the car; driver refused to stop. Witness recalls next-day PR press/radio UFO reports including a 'picture of an alien wearing a costume made up of lights.'",5,civilian family group,none,"witness narrative (multi-witness, retrospective)",T3,NUFORC sighting 49024,https://nuforc.org/sighting/?id=49024,https://web.archive.org/web/20260523103912/https://nuforc.org/sighting/?id=49024,2006-02-05 (report); event approximate,en,NEW vs real ledger,none for direct dedup; CROSS-REF probable same-wave pairing with PRUAP-GAP-1976-002 (same 'alien in light costume' press recall),47,medium,Venus + parallax plausible but persistence over 10 min and driver reaction weaken conventional fit.,Two NUFORC reports jointly describe the same press-photo story - indicates a real mid/late-1970s PR media event the ledger does not capture.,Exact year of the press story (1976 vs 1977 vs 1978).,La Semana/El Mundo/El Imparcial microfilm July 1976-1978.,(none),Cross-reference candidate; operator merge/split once press event dated. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
2,PRUAP-GAP-2017-001,2017,02/10/2017,2017-02-10,exact,"20:00-21:00 local, ~1 hour",NUFORC/MUFON location field 'Mona (Puerto Rico)' - witness narrative indicates PR mainland (references local supermarket + island central mountain range),unspecified; likely west/southwest PR mainland,18.0747,-67.921,MUFON-tagged coords (offshore Mona Passage); narrative indicates mainland - location uncertain,West/Southwest PR (provisional),aerial,triangle_object,triangular;color_interchanging_red_blue;binocular_observation;1hr_duration;steady_light_no_atmospheric_refraction,"Witness leaving a supermarket saw a bright triangular object reflecting three colors (red top, royal blue lower-right, white middle) with a detached 'u' shape underneath; no sound, no other aircraft. Observed with binoculars ~1 hour from ground then rooftop; red/blue colors interchanged; steady light not refracted like stars; lost behind the island central mountain range. Witness offered to submit a sketch and map.",1,civilian (methodical observer),none,witness narrative (detailed),T3,ufo-hunters.com mirror of MUFON case 82006,https://www.ufo-hunters.com/sightings/search/58a37e9d636e694f83389ef8/UFO%20Sighting%20in%20Mona%20(Puerto%20Rico)%20on%20Friday%2010%20February%202017,,2017-02-10 (same-day report),en,NEW vs real ledger,none; 2017 had 0 ledger cases,58,medium,~1hr duration + binocular detail + witness explicitly distinguishing it from a refracting star weakens planet/star misID; ISS ruled out by witness; color-interchanging behavior atypical.,"First documented 2017 PR case (Tier-0 year, was 0 cases); detailed methodical multi-modal observation.","MUFON 'Mona' geotag conflicts with narrative (supermarket, central mountain range) - true municipality unresolved.",Pull MUFON CMS case 82006 full file incl. witness sketch/map; resolve municipality.,(none),Location-tag artifact flagged; treat as west/southwest PR mainland pending MUFON file. || ARCHIVE: archived_url left BLANK — Save Page Now was submitted via the Claude-in-Chrome browser on 2026-05-23 but the capture could not be confirmed this session (Wayback resolver/progress page hung repeatedly). No archive URL fabricated.
2,PRUAP-GAP-2017-002,2017,11/06/2017 13:00,2017-11-06,exact,"13:00 local, 20-30s",Guaynabo,"PR-165 road, in traffic",18.4245,-66.1115,municipality centroid,North PR metro,aerial,sphere_or_orb,pilot_witness;twin_metallic_spheres;daytime;constant_airspeed;no_altitude_deviation,"Two metallic-colored spherical objects flying N-to-S at constant airspeed ~4,000-5,000 ft; the front object advanced several hundred feet then held distance at constant airspeed. Witness, a pilot, states the objects could not increase/decrease airspeed with no deviation of altitude/heading the way known aircraft/helicopters do. Daytime, clear sky.",1,civilian pilot (self-identified),none,witness narrative,T3,ufo-hunters.com case 3528,https://www.ufo-hunters.com/sightings/search/5a034ab6bfc7da0007000008/UFO%20Sighting%20in%20Guaynabo%20on%20Monday%2006%20November%202017,https://web.archive.org/web/20260523104025/https://www.ufo-hunters.com/sightings/search/5a034ab6bfc7da0007000008/UFO%20Sighting%20in%20Guaynabo%20on%20Monday%2006%20November%202017,2017-11-08 (report); 2017-11-06 (event),en,NEW vs real ledger,none; 2017 had 0 ledger cases,60,medium-high,"Pilot witness explicitly rules out known aircraft/helicopter on flight-dynamics grounds; daytime, clear; balloon possible but twin-object coordinated motion atypical.","Strong 2017 Tier-0 candidate; pilot witness, daytime, detailed flight-behavior description.",No corroborating witness; no media.,Cross-check SJU TRACON / ADS-B for 13:00 2017-11-06 traffic over Guaynabo.,FAA SJU TRACON,Pilot-witness case; among strongest modern candidates. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
2,PRUAP-GAP-2017-003,2017,05/27/2017,2017-05-27,exact,evening,Ceiba,unspecified barrio (near former Roosevelt Roads NS),18.2627,-65.6447,municipality centroid,East PR coast / Ceiba-Fajardo corridor,aerial,formation,oval_object;5_additional_objects;formation;near_former_naval_station,Oval-shaped object accompanied by ~5 other objects. Brief MUFON summary. Same date as a separate Barrio Daguao Naguabo 'Boomerang' report - possible east-coast mini-wave.,1+,civilian,none,witness narrative (brief),T3,ufo-hunters.com mirror of MUFON case 84045,"https://www.ufo-hunters.com/sightings/search/592f35e09d2e4cd48692bf4a/UFO%20Sighting%20in%20Ceiba,%20Ceiba%20(Puerto%20Rico)%20on%20Saturday%2027%20May%202017","https://web.archive.org/web/20260523104051/https://www.ufo-hunters.com/sightings/search/592f35e09d2e4cd48692bf4a/UFO%20Sighting%20in%20Ceiba,%20Ceiba%20(Puerto%20Rico)%20on%20Saturday%2027%20May%202017",2017-05-29 (report); 2017-05-27 (event),en,NEW vs real ledger,none; 2017 had 0 ledger cases. SPLIT/CLUSTER note: same-date Barrio Daguao Naguabo Boomerang (ufo-hunters 592f35e09d2e4cd48692bf40) is a co-located co-dated separate witness,42,medium,Multi-object formation; brief description limits conventional assessment; could be aircraft formation or balloons - full MUFON text needed.,2017 Tier-0 case; Ceiba is in the Ceiba-Fajardo corridor adjacent to former Roosevelt Roads Naval Station.,Brief description; full MUFON file needed; relationship to same-date Naguabo report.,Pull MUFON CMS 84045; check same-date Naguabo Barrio Daguao report for mini-wave.,US Navy (former Roosevelt Roads records),Possible 2017-05-27 east-coast mini-wave with Barrio Daguao Naguabo. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
2,PRUAP-GAP-2020-001,2020,01/10/2020,2020-01-10,exact,~35 min duration,Lajas,multiple barrios across town,18.0465,-67.0559,municipality (multiple localities),Southwest PR / Lajas valley,aerial,mass_sighting,multi_witness;multi_location;photographs;earthquake_correlation;law_enforcement_family_member;lights_lining_up,"Tied to the January 2020 southwest PR earthquake swarm: shortly after an earthquake, family members in different barrios of Lajas independently photographed lights flying in all directions that then lined up in a straight line for ~35 minutes before scrambling and disappearing. Multiple photos submitted to MUFON. Witness's cousin is a Lajas police officer (reported the quake, not the lights).","3+ (multiple family members, multiple locations)",civilian (multi-witness); police-officer family member present,none directly; PR police family member adjacent,witness narrative + 3 photographs,T3,ufo-hunters.com mirror of MUFON case 105566,"https://www.ufo-hunters.com/sightings/search/5e36c57a8b1b25bdce16929c/UFO%20Sighting%20in%20Lajas,%20Lajas%20(Puerto%20Rico)%20on%20Friday%2010%20January%202020","https://web.archive.org/web/20260523104030/https://www.ufo-hunters.com/sightings/search/5e36c57a8b1b25bdce16929c/UFO%20Sighting%20in%20Lajas,%20Lajas%20(Puerto%20Rico)%20on%20Friday%2010%20January%202020",2020-01-14 (report); 2020-01-10 (event),en,NEW vs real ledger,"none; 2020 ledger rows PRUAP-0443 Ponce Jan 12, PRUAP-0444 Culebra Jul 14 distinct",58,medium,Lights 'lining up in a straight line' is consistent with a Starlink satellite train (Starlink launches active Jan 2020) - this is a strong conventional candidate and must be checked against Starlink pass predictions for SW PR 2020-01-10. However multi-location independent photos + 35-min duration + scrambling behavior partially weaken a pure-Starlink fit.,"Multi-witness, multi-location, photo-documented 2020 case in the Lajas anomaly corridor; earthquake-swarm correlation is notable.",Starlink train must be definitively ruled in/out; MUFON photo metadata needed.,Pull MUFON CMS 105566 photo EXIF; cross-check Starlink pass predictions for Lajas 2020-01-10; correlate with USGS Jan 2020 PR earthquake catalog.,USGS (earthquake correlation); NOAA SJU,Earthquake-correlated; Starlink is the leading conventional hypothesis - retain pending check. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
2,PRUAP-GAP-2021-001,2021,11/30/2021 05:15,2021-11-30,exact,"05:15 local, <20s",San Juan,Ocean Park Beach (over ocean),18.4653,-66.1167,exact locality,North PR coast / San Juan metro,aerial+maritime,structured_craft,multi_witness;beach;huge_square_object;blue_green_symmetrical_lights;sky_break;rapid_departure,"Around 05:15 am at Ocean Park Beach, witness (exercising, among several other people) saw the sky 'break up' in a small section with a huge light, from which a HUGE square-shaped object with blue and green symmetrical lights appeared; within ~5s it zoomed east extremely fast and disappeared. Another man confirmed: 'you saw it too, right?' Bystanders watched the sky ~30 more minutes.",2+ (witness + man who confirmed + others present),civilian (multi-witness),none,witness narrative (multi-witness),T3,ufo-hunters.com case 4944,"https://www.ufo-hunters.com/sightings/search/61a6401484132f0009ef4012/UFO%20Sighting%20in%20San%20Juan,%20Puerto%20Rico%20on%20Tuesday%2030%20November%202021","https://web.archive.org/web/20211224144335/https://www.ufo-hunters.com/sightings/search/61a6401484132f0009ef4012/UFO%20Sighting%20in%20San%20Juan,%20Puerto%20Rico%20on%20Tuesday%2030%20November%202021",2021-11-30 (same-day report),en,NEW vs real ledger,"none; 2021 ledger rows PRUAP-0445 Desecheo, PRUAP-0446 Isabela distinct",58,medium,Pre-dawn 05:15; a 'huge square object' with symmetrical lights departing extremely fast does not fit aircraft/satellite/lantern; on-the-spot confirmation by an independent bystander strengthens the report.,2021 candidate at exact locality (Ocean Park Beach) with same-day reporting and independent on-scene corroboration.,No media captured; bystander identities unknown.,Check SJU airspace / any 05:15 2021-11-30 activity; canvass Ocean Park dog-walker community.,FAA SJU,Strong multi-witness same-day 2021 candidate. || ARCHIVE: archived_url populated from a verified pre-existing Wayback snapshot (2021-12-24); a fresh 2026-05-23 capture was attempted but the older verified snapshot is recorded.
3,PRUAP-GAP-CL-2017-001,2017,07/05/2017,2017-07-05,exact,daytime,Humacao,barrio unspecified (camera pointed SE toward mountains S of Humacao),18.1662,-65.816,municipality centroid,East PR coast / El Yunque foothills,aerial,photo_video_case,best_of_cluster;recurring_object;inverted_cross;red_light;photographic_only,"BEST-OF entry for the Humacao 2017-18 photo-anomaly flap. Most complete single report: witness pointed camera SE and photographed 3 objects, one a red light resembling an inverted cross that 'usually appears when objects are around' and had appeared in prior photos as a normal cross; first time witness photographed rectangular objects.",1,civilian (serial photo-reporter),none,photographic (camera-only; not seen live),T3,ufo-hunters.com mirror of MUFON case 84870,"https://www.ufo-hunters.com/sightings/search/596546d59d2e4cd486e05845/UFO%20Sighting%20in%20Humacao,%20Humacao%20(Puerto%20Rico)%20on%20Wednesday%2005%20July%202017","https://web.archive.org/web/20260523104135/https://www.ufo-hunters.com/sightings/search/596546d59d2e4cd486e05845/UFO%20Sighting%20in%20Humacao,%20Humacao%20(Puerto%20Rico)%20on%20Wednesday%2005%20July%202017",2017-07-05 (report); 2017-07-05 (event),en,NEW (best-of cluster) vs real ledger,none; 2017 had 0 ledger cases,30,low-medium,"'Objects found in photos but not seen at the time', recurring in the same camera direction, is the classic signature of photographic artifacts (birds, insects, lens flare, JPEG compression). Retained as the most-complete representative of the flap, but conventional explanation is the leading hypothesis.",Designated best-of representative of the Humacao 2017-18 serial photo-reporter flap so the flap is represented by one anchored entry rather than ~24 rows.,Witness identity; whether any object was ever seen live vs camera-only.,Pull MUFON CMS 84870 image EXIF; assess for artifact signatures.,(none),Best-of entry for cluster PRUAP-GAP-CLUSTER-2017-HUM. Camera-only photographic case. || ARCHIVE: Wayback snapshot newly captured 2026-05-23 via Save Page Now (Claude-in-Chrome browser); recorded in archived_url.
